Country Name,Covid-19 Deaths,Cardiovascular diseases,Respiratory diseases ,Kidney diseases,Neonatal disorders ,Meningitis ,Malaria ,Interpersonal violence,HIV/AIDS,Tuberculosis,Maternal disorders,Lower respiratory infections,Alcohol use disorders,Diarrheal diseases,Poisoning,Nutritional deficiencies, Alzheimer's disease,Parkinson's disease, Acute hepatitis,Digestive diseases, Cirrhosis and other chronic liver diseases,Protein-energy malnutrition,Neoplasms,"Fire, heat",Drowning,Drug use disorders,Road injuries,Environmental heat and cold exposure,Self-harm, Conflict and terrorism,Diabetes ,
Italy,74621,236507,31345,16513,605,185,0,488,621,426,18,12393,351,1012,84,773,48763,8036,86,28523,12450,565,192052,503,351,563,5273,180,4315,0,21590,
Jamaica,303,6457,642,939,400,21,0,420,418,10,28,475,9,44,3,65,780,149,2,536,185,58,4338,19,13,6,183,1,89,0,2399,
Japan,3541,372483,55794,45324,469,407,0,716,161,3852,40,118801,670,3670,314,1832,164874,16750,104,60801,26248,1395,442474,1617,7874,490,6841,2134,24773,0,8784,
Jordan,3851,11798,856,1813,1577,83,0,352,27,29,76,1054,17,68,60,18,767,192,11,1102,644,16,5643,196,129,17,1262,3,260,4,2053,
Kazakhstan,2749,65391,9772,1873,1593,136,0,1752,261,768,54,4013,1701,59,466,121,2319,741,21,8896,6705,84,21073,457,908,749,2781,741,4275,0,2588,
Kenya,1681,40611,7705,4764,18317,4396,8049,4606,51135,16781,3767,21504,340,18564,846,4614,2705,621,1476,20749,13095,4462,23292,829,614,92,4595,243,3155,68,6182,
Kuwait,936,4119,230,322,206,12,0,42,3,26,3,668,10,6,19,1,425,58,1,338,204,0,1653,34,23,23,583,3,135,0,365,
Kyrgyzstan,1356,17482,1513,489,1307,38,0,297,170,405,57,772,403,94,77,9,723,115,18,2482,2143,7,4150,80,265,63,987,104,600,0,322,
Laos,34,13523,2663,1712,3043,162,23,560,374,2093,315,3392,70,1117,30,201,529,151,37,2464,1273,176,4975,82,389,17,1096,12,430,0,1553,
Latvia,644,15779,433,263,27,8,0,136,118,53,2,350,285,4,15,5,1031,190,1,945,388,1,5601,113,122,51,189,107,392,0,335,
Lebanon,1479,16329,1185,1180,400,34,0,216,61,42,17,910,15,61,35,15,1255,226,142,959,596,12,7493,90,55,127,441,3,176,14,859,
Liberia,83,4299,534,645,2240,432,4587,127,1652,1062,713,1940,32,2373,57,323,284,72,64,1524,955,300,2053,107,86,7,503,19,259,0,634,
Libya,1487,12747,1173,1374,349,43,0,130,85,84,27,837,24,70,66,18,1094,203,45,1122,724,14,5435,136,92,202,2155,5,347,1039,898,
